篇名,分词结果
"从量效关系探讨张志远运用大剂量附子经验","从量效关系探讨张志远运用 大剂量 附子 经验"
"合理应用大剂量附子治疗寒湿痹阻型类风湿性关节炎安全性探讨","合理应用 大剂量 附子 治疗 寒湿痹阻型类风湿性关节炎安全性探讨"
"大剂量附子在恶性肿瘤患者脾肾阳虚型运用初探","大剂量 附子 在 恶性肿瘤患者脾肾阳虚型 运用 初探"
"大剂量舒肝解郁胶囊对冠心病PCI术后患者抑郁焦虑的疗效及血清单胺类神经递质的影响","大剂量 舒肝解郁胶囊 对 冠心病PCI术后患者抑郁焦虑的疗效 及 血清单胺类神经递质的影响"
"大剂量桑叶治疗原发免疫性血小板减少症临证经验","大剂量 桑叶 治疗 原发免疫性血小板减少症 临证经验"
"基于肠道菌群平衡分析微生态制剂联合浙贝黄芩汤对急性淋巴细胞白血病大剂量化疗后患者的临床影响","基于肠道菌群平衡分析微生态制剂 联合 浙贝黄芩汤 对 急性淋巴细胞白血病 大剂量 化疗后患者的临床影响"
"基于古籍探索百壮及以上大剂量灸的运用规律","基于古籍探索百壮 及 以上 大剂量 灸的 运用 规律"
"当归六黄汤治疗大剂量肾上腺皮质激素所致不良反应分析","当归六黄汤 治疗 大剂量 肾上腺皮质激素 所致 不良反应 分析"
"刘清泉运用大剂量凉血解毒药物救治红皮病重症1例","刘清泉运用 大剂量 凉血解毒药物 救治 红皮病重症1例"
"基于阴虚内热辨证治疗颈椎脊髓休克大剂量激素冲击后顽固性发热的临床研究","基于阴虚内热辨证 治疗 颈椎脊髓休克 大剂量 激素 冲击后顽固性发热的临床研究"
"李广文应用大剂量黄芪临床经验","李广文应用 大剂量 黄芪 临床经验"
"大剂量比索洛尔联合黄连阿胶汤加减和电针治疗阴虚火旺型心血管神经症的效果","大剂量 比索洛尔 联合 黄连阿胶汤加减和电针 治疗 阴虚火旺型心血管神经症的效果"
"大剂量加味四君子汤序贯治疗老年中晚期非小细胞肺癌临床研究","大剂量 加味四君子汤 序贯 治疗 老年中晚期非小细胞肺癌临床研究"
"大剂量参附注射液治疗重症急性胰腺炎合并脓毒症休克对患者HSP70、IL-10表达的影响","大剂量 参附注射液 治疗 重症急性胰腺炎合并脓毒症休克 对 患者HSP70、IL-10表达的 影响"
"基于氧化应激的三草愈疡汤防治大剂量甲氨蝶呤化疗后口腔黏膜炎机制研究","基于氧化应激的三草愈疡汤 防治 大剂量 甲氨蝶呤 化疗后口腔黏膜炎机制 研究"
"中医药强化大剂量维生素C治疗肿瘤作用","中医药强化 大剂量 维生素C 治疗 肿瘤作用"
"大剂量黄芪治疗老年皮肤损伤久不愈合验案一则","大剂量 黄芪 治疗 老年皮肤损伤久不愈合 验案 一则"
"大剂量半夏治疗脾虚胃热型慢性胃炎的临床疗效及其安全性评估","大剂量 半夏 治疗 脾虚胃热型慢性胃炎的临床疗效及其安全性评估"
"王晞星教授运用大剂量黄芪治疗肿瘤并发症的临证经验","王晞星教授运用 大剂量 黄芪 治疗 肿瘤并发症的 临证经验"
"大剂量黄芪在皮肤科的应用","大剂量 黄芪 在 皮肤科的 应用"
"刍议大剂量附子在冠心病治疗中的应用","刍议 大剂量 附子 在 冠心病 治疗 中的 应用"
"金银花汤联合大剂量土茯苓对梅毒患者外周血淋巴细胞以及血清白介素因子的影响研究","金银花汤 联合 大剂量 土茯苓 对 梅毒患者外周血淋巴细胞 以及 血清白介素因子的 影响 研究"
"冯建华运用大剂量黄芪治疗糖尿病周围神经病变的经验","冯建华运用 大剂量 黄芪 治疗 糖尿病周围神经病变的 经验"
"补阳还五汤联合大剂量黄芪对脑出血后遗症患者神经功能和生活质量的影响","补阳还五汤 联合 大剂量 黄芪 对 脑出血后遗症患者神经功能和生活质量的 影响"
"基于“五因三全”原则浅谈沈宗国大剂量用药经验","基于“五因三全”原则浅谈沈宗国 大剂量 用药 经验"
"大剂量延胡索配合三阶梯治疗癌痛的临床研究","大剂量 延胡索 配合 三阶梯 治疗 癌痛的临床研究"
"刍议大剂量葛根在冠心病治疗中的应用","刍议 大剂量 葛根 在 冠心病 治疗 中的 应用"
